time,stock,paired_shares,imbalance_shares,imbalance_direction,imbalance_ratio,signed_imbalance,near_reference_deviation,far_price,near_price,reference_price,signal
0 days 09:29:59.157412563,MYNZ,94,1144,S,0.9240710823909531,-0.9240710823909531,-0.022950819672131098,11.92,11.92,12.2,-1
0 days 09:29:59.026832332,SNAXW,299,3701,S,0.92525,-0.92525,-0.15789473684210534,0.0736,0.0736,0.0874,-1
0 days 09:29:59.144329393,PEZ,43,612,S,0.934351145038168,-0.934351145038168,-0.00014630577907814054,68.29,68.34,68.35,-1
0 days 09:29:59.111359021,UG,18,306,S,0.9444444444444444,-0.9444444444444444,-0.0031071983428274845,19.23,19.25,19.31,-1
0 days 09:29:59.311608588,BSBE,101,1855,S,0.9483640081799591,-0.9483640081799591,-0.003322259136212554,23.85,24.0,24.08,-1
0 days 09:29:59.040696682,GOODN,15,377,S,0.9617346938775511,-0.9617346938775511,-0.0003968253968253179,25.19,25.19,25.2,-1
0 days 09:29:59.260621518,JAN,34,1248,S,0.9734789391575663,-0.9734789391575663,-0.030303030303030234,2.24,2.24,2.31,-1
0 days 09:29:59.198502575,DRMA,3,180,S,0.9836065573770492,-0.9836065573770492,-0.010588497547926831,0.87,0.8877,0.8972,-1
0 days 09:29:59.111676406,CREG,12,1823,S,0.9934604904632153,-0.9934604904632153,-0.0175824175824176,4.45,4.47,4.55,-1
0 days 09:29:59.248860132,TIRX,1,258,S,0.9961389961389961,-0.9961389961389961,-0.012987012987012998,0.75,0.76,0.77,-1
0 days 09:29:59.053369086,GRAY,3,7820,S,0.999616515403298,-0.999616515403298,-0.054084130870242574,0.8318,0.85,0.8986,-1
